Youtuber,lowest_yearly_earnings,highest_yearly_earnings,channel_date,estimated_yearly_income,Category
T-Series,6800000,108400000,2006-03-13,53647058.82,Music
MrBeast,4000000,64700000,2012-02-20,10315942.50,Entertainment
"Cocomelon - Nursery Rhymes",5900000,94800000,2006-09-01,38588235.29,Education
"SET India",5500000,87500000,2006-09-20,34823529.41,Shows
"Zee Music Company",2400000,38600000,2014-03-12,25713906.39,Music
WWE,2100000,34300000,2007-05-11,19357118.42,Sports
BLACKPINK,1500000,23900000,2016-06-29,18368341.47,"People & Blogs"
"Sony SAB",5000000,79600000,2007-08-04,25250000.00,Shows
BANGTANTV,504900,8100000,2012-12-17,7573452.35,Music
"Justin Bieber",529000,8500000,2007-01-15,7652029.93,Music
"HYBE LABELS",1800000,28700000,2008-06-04,7635884.52,Music
"Zee TV",5100000,81900000,2005-12-11,16253123.22,Entertainment
"Shemaroo Filmi Gaane",764900,12200000,2010-06-11,8814776.75,Music
"Colors TV",3600000,57000000,2008-06-13,16402908.39,Shows
"Dude Perfect",423600,6800000,2009-03-17,4640442.62,Sports
"Tips Official",1300000,20300000,2007-05-22,8357950.67,Music
"El Reino Infantil",1800000,29400000,2011-06-02,19090543.62,Music
"Aaj Tak",1400000,22100000,2009-08-27,7230786.72,"News & Politics"
"Sony Music India",777900,12400000,2009-09-02,8239184.15,Music
EminemMusic,780600,12500000,2007-02-09,6768468.21,Music
YRF,1500000,24600000,2006-06-07,8306410.28,"Film & Animation"
"Ed Sheeran",608200,9700000,2006-08-08,7145335.70,Music
"Infobells - Hindi",2400000,39200000,2014-06-06,13562743.44,Education
"Taylor Swift",1600000,25400000,2006-09-20,7031684.07,Music
"Ariana Grande",480600,7700000,2007-01-22,6001210.65,Music
"Billie Eilish",440600,7000000,2013-02-06,5450532.42,Music
"Get Movies",919600,14700000,2006-12-16,7244395.18,Entertainment
Shemaroo,698200,11200000,2007-09-01,5629926.30,Entertainment
SonyMusicIndiaVEVO,943500,15100000,2009-09-02,7796016.80,Music
"Felipe Neto",391100,6300000,2006-05-16,3906399.59,Entertainment
"HAR PAL GEO",4000000,64200000,2008-01-02,10970413.43,Entertainment
Shakira,1100000,17000000,2005-10-16,6126390.51,"People & Blogs"
"ARY Digital HD",3400000,55200000,2016-07-11,21679874.68,Entertainment
"Masha and The Bear",2000000,32200000,2014-09-17,10897343.55,Shows
Rihanna,548800,8800000,2005-11-06,4995054.63,Entertainment
"Ishtar Music",542800,8700000,2005-09-22,3913095.81,Trailers
"Kimberly Loaiza",410200,6600000,2016-11-16,3201778.26,"People & Blogs"
CarryMinati,236100,3800000,2014-10-30,1464005.84,Comedy
"Super Simple Songs - Kids Songs",1700000,26900000,2006-09-08,10564917.17,Education
Mikecrack,792300,12700000,2015-07-13,8059090.84,Gaming
"GR6 EXPLODE",4900000,78500000,2014-08-05,11179658.80,Music
"TEDx Talks",136900,2200000,2009-06-23,2096952.32,"Nonprofits & Activism"
"Goldmines Gaane Sune Ansune",2400000,39100000,2015-08-24,8359096.19,Music
"Sony PAL",1200000,20000000,2014-05-09,12675262.00,Shows
"Daddy Yankee",616800,9900000,2011-05-16,7577138.54,Music
"Like Nastya ESP",963100,15400000,2017-04-22,12138797.91,Entertainment
"ABP NEWS",801200,12800000,2012-06-01,4764586.01,"People & Blogs"
"Bruno Mars",525700,8400000,2006-09-19,4559565.98,Music
"Maroon 5",458500,7300000,2006-03-09,5306805.54,Music
"PowerKids TV",956100,15300000,2014-08-06,8427218.62,"Film & Animation"
YouTube,63300,1000000,1970-01-01,227229.05,"News & Politics"
"Saregama Music",1600000,25600000,2013-01-04,6263069.37,Entertainment
IndiaTV,872500,14000000,2006-08-26,3789417.35,"News & Politics"
"T-Series Bollywood Classics",994400,15900000,2012-04-02,8231921.28,Music
"Jess No Limit",1600000,26300000,2017-09-07,2642004.94,Entertainment
"Jingle Toons",539700,8600000,2013-01-24,4540406.33,"Film & Animation"
"Galinha Pintadinha",1200000,19400000,2006-08-30,6417541.35,"Film & Animation"
SSSniperWolf,632900,10100000,2013-01-20,9397073.77,Gaming
"Selena Gomez",347400,5600000,2008-02-08,3470284.62,"Film & Animation"
Rajshri,816800,13100000,2006-03-24,3497481.13,Music
"Ricis Official",471300,7500000,2016-01-15,3425221.01,"People & Blogs"
DisneyMusicVEVO,989600,15800000,2010-05-20,8774230.96,Music
"The Weeknd",1100000,17900000,2011-02-25,7793323.00,Music
"KAROL G",1400000,22400000,2013-03-14,7479658.22,Music
"Mr Bean",169600,2700000,2006-01-04,2494643.79,Shows
StarPlus,5000000,80000000,2006-05-19,6306041.07,Entertainment
SMTOWN,700200,11200000,2006-03-18,6430644.63,Music
"GMA  Network",2400000,38300000,2006-11-20,4571366.70,Entertainment
"Lucas and Marcus",936300,15000000,2011-01-19,3871949.43,Entertainment
"Peppa Pig - Official Channel",734800,11800000,2013-10-09,9167708.69,"Film & Animation"
TheDonato,572000,9200000,2015-02-17,3093902.48,Entertainment
ImagineDragons,566500,9100000,2009-08-03,4798020.68,Music
"Zee News",1400000,22200000,2007-06-19,4177464.46,"News & Politics"
AboFlah,473700,7600000,2016-07-28,2583756.54,Gaming
Adele,411300,6600000,2008-04-04,3786428.80,Music
"Shawn Mendes",266200,4300000,2011-01-19,4277066.95,Music
"ashish chanchlani vines",78500,1300000,2009-07-06,1273689.61,Comedy
Enaldinho,909300,14500000,2012-11-07,4228159.22,Comedy
"Aditya Movies",682100,10900000,2012-02-23,3659189.11,Movies
"infobells - Telugu",864300,13800000,2014-03-13,6584085.35,Education
"HUM TV",2100000,32900000,2011-05-25,7948312.32,Entertainment
"Shemaroo Movies",554900,8900000,2011-03-01,2533580.33,Entertainment
"Michael Jackson",475800,7600000,2005-06-22,3202772.14,Music
"Goldmines Dishoom",387600,6200000,2016-11-26,4916267.67,"Film & Animation"
toycantando,521500,8300000,2009-07-07,4507909.29,Music
"Wiz Khalifa",271300,4300000,2008-05-09,3567838.80,Music
"JYP Entertainment",922900,14800000,2008-01-25,5302173.34,Music
"Dushyant kukreja",1300000,20600000,2015-09-26,8659226.45,Entertainment
"Gulshan Kalra",1500000,24100000,2018-04-09,10185955.90,"Howto & Style"
"Brent Rivera",433400,6900000,2009-08-01,1877410.28,Comedy
"Renato Garcia YT",248700,4000000,2011-09-29,2646205.55,Entertainment
"Beast Reacts",828600,13300000,2016-04-24,2507455.44,"People & Blogs"
Netflix,354700,5700000,2012-07-17,2608606.87,Entertainment
"Goldmines Bollywood",299000,4800000,2015-07-22,4297880.28,"Film & Animation"
"Alan Chikin Chow",3100000,50200000,2020-02-03,36008702.22,Comedy
"PANDA BOI",3700000,58800000,2020-12-05,22948800.01,Entertainment
Smosh,204500,3300000,2005-11-19,2318994.30,Comedy
NichLmao,1800000,29100000,2018-09-25,11280808.49,"People & Blogs"
Indosiar,690500,11000000,2013-09-23,4548828.76,Music
"David Guetta",492600,7900000,2009-12-11,5083945.59,Music
"Nicki Minaj",310900,5000000,2013-08-28,4097192.43,Music
TaylorSwiftVEVO,955800,15300000,2009-05-12,7312108.08,Music
"Post Malone",586500,9400000,2011-12-15,4800406.03,Music
LankyBox,2400000,39100000,2016-07-30,19600275.47,Comedy
Coldplay,596600,9500000,2010-01-03,5332819.44,Music
"WB Kids",421000,6700000,2015-03-31,5540801.18,"People & Blogs"
"The Lallantop",821800,13100000,2015-03-23,5204676.13,"News & Politics"
"Anuel AA",852400,13600000,2016-09-08,8472620.09,Music
"Dan Rhodes",995700,15900000,2015-10-30,8693791.86,Entertainment
EminemVEVO,418300,6700000,2009-05-12,5866201.29,Music
"Chloe Ting",69800,1100000,2011-08-17,998242.14,"Howto & Style"
"Mark Rober",265900,4300000,2011-10-20,1215995.77,"Science & Technology"
"Pen Movies",284600,4600000,2014-03-25,2937232.53,"Film & Animation"
"Alejo Igoa",1200000,19300000,2014-01-17,4888444.66,Comedy
"Daniel LaBelle",1200000,19100000,2009-03-11,3690331.16,Comedy
"DJ Snake",189900,3000000,2008-09-24,2246801.58,Music
"Spider Slack",2300000,36500000,2020-05-18,18590706.97,Comedy
Preston,455100,7300000,2012-07-04,3010547.07,Gaming
"James Charles",174400,2800000,2015-12-01,2033939.47,Entertainment
"Diana and Roma EN",533300,8500000,2011-12-22,2404499.70,"People & Blogs"
"Enrique Iglesias",368700,5900000,2007-04-12,4422193.73,Music
