Category,num_of_youtube_channels_of_each_category,sum(video_views),Profit
Entertainment,240,2518941264905,10075765059.62
Music,200,3103516219048,12414064876.19
"People & Blogs",131,1260101977096,5040407908.38
Gaming,93,713886552367,2855546209.47
Comedy,69,550112774315,2200451097.26
"Film & Animation",46,544422509313,2177690037.25
Education,45,696614472899,2786457891.60
"Howto & Style",40,201817545540,807270182.16
"News & Politics",26,270391919347,1081567677.39
"Science & Technology",17,66976747110,267906988.44
Shows,13,446206826909,1784827307.64
Sports,11,147986290620,591945162.48
"Pets & Animals",4,44866745899,179466983.60
Trailers,2,33262717607,133050870.43
"Nonprofits & Activism",2,10862911785,43451647.14
Movies,2,15383255129,61533020.52
"Autos & Vehicles",2,15003458141,60013832.56
"Travel & Events",1,3140883140,12563532.56
