Youtuber,Subscribers,Total_views,Average_views_per_subscriber
T-Series,245000000,228000000000,930.61
MrBeast,166000000,28368841870,170.90
"Cocomelon - Nursery Rhymes",162000000,164000000000,1012.35
"SET India",159000000,148000000000,930.82
PewDiePie,111000000,29058044447,261.78
"Like Nastya",106000000,90479060027,853.58
"Vlad and Niki",98900000,77180169894,780.39
"Zee Music Company",96700000,57856289381,598.31
WWE,96000000,77428473662,806.55
BLACKPINK,89800000,32144597566,357.96
Goldmines,86900000,24118230580,277.54
"Sony SAB",83000000,101000000000,1216.87
"5-Minute Crafts",80100000,26236790209,327.55
BANGTANTV,75600000,20826993957,275.49
"Justin Bieber",71600000,30608119724,427.49
"HYBE LABELS",71300000,28634566938,401.61
"Zee TV",70500000,73139054467,1037.43
"Canal KondZilla",66500000,36775585925,553.02
"Shemaroo Filmi Gaane",65600000,28648024439,436.71
"Colors TV",64600000,61510906457,952.18
