Country,Number_of_youtubers,Number_of_uploads,Number_of_subscribers
"United States",312,1299609,7315100000
India,168,3728212,4310600000
Brazil,61,168178,1207300000
"United Kingdom",43,86816,917400000
Mexico,33,33410,626900000
Indonesia,28,678321,534100000
Spain,22,70160,385100000
Thailand,18,858953,386500000
"South Korea",17,129724,481700000
Russia,16,19558,407200000
Canada,15,46745,363900000
Argentina,13,17240,328500000
Philippines,12,838543,240100000
Colombia,11,10779,264500000
"Saudi Arabia",9,13107,179100000
Ukraine,8,220128,125600000
Australia,8,7179,154400000
"United Arab Emirates",7,188422,148200000
Pakistan,6,507947,155400000
Germany,6,6743,116400000
Japan,5,18856,189100000
France,5,2227,83900000
Sweden,4,1293,63000000
Turkey,4,28189,91600000
Chile,3,6771,87200000
Jordan,3,6667,67000000
Netherlands,3,14329,58100000
Singapore,3,32039,59700000
Vietnam,3,5408,47800000
Italy,2,1805,39400000
Iraq,2,3860,30200000
Egypt,2,5936,30600000
Ecuador,2,1934,27700000
Cuba,1,1,46300000
"El Salvador",1,543,46100000
Barbados,1,84,41900000
Venezuela,1,65,31200000
Kuwait,1,641,30500000
Afghanistan,1,0,20400000
Latvia,1,1935,20200000
Switzerland,1,10728,19400000
Malaysia,1,1716,17700000
China,1,128,17600000
Andorra,1,159,15100000
Morocco,1,176,14500000
Peru,1,399,14400000
Bangladesh,1,6,13900000
Finland,1,172,13200000
Samoa,1,12,13100000
