Youtuber,average_views_per_video,profit_per_video,video_views,uploads
"Shorts Break",463481859,1853927.44,19466238065,42
"Galinha Pintadinha",413250769,1653003.08,27274550757,66
"And TV",342496289,1369985.16,15412333005,45
"MSA previously My Story Animated",330334790,1321339.16,8588704539,26
Rihanna,267592212,1070368.85,22477745835,84
"Smile Family",254818534,1019274.14,8663830163,34
"Nicki Minaj",243880502,975522.01,10242981063,42
AdeleVEVO,238728267,954913.07,12413869881,52
"Hear This Music",235934062,943736.25,9201428420,39
zayn,233794664,935178.66,4909687948,21
"Billie Eilish",209635862,838543.45,13626331061,65
"Calvin Harris",202709426,810837.70,16014044618,79
"Katy Perry",198898063,795592.25,25458952022,128
EminemVEVO,197420236,789680.94,20531704527,104
"Bruno Mars",195738944,782955.78,19378155425,99
"Post Malone",184631001,738524.00,14401218086,78
"Like Nastya",183527505,734110.02,90479060027,493
ImagineDragons,182533395,730133.58,16793072362,92
"deepesh zo",175767383,703069.53,7206462713,41
FitDance,173810018,695240.07,7126210721,41
EminemMusic,173550467,694201.87,27073872856,156
"Lil Nas X",171340126,685360.50,6339584661,37
"Cocomelon - Nursery Rhymes",169772257,679089.03,164000000000,966
"MrBeast 2",168614115,674456.46,4552581106,27
RihannaVEVO,164905150,659620.60,19458807708,118
"Ariana Grande",163298249,653193.00,24004842608,147
"J Balvin",163158253,652633.01,23005313609,141
Akon,161562388,646249.55,6300933122,39
"Lana Del Rey",160098030,640392.12,6884215292,43
"Gallina Pintadita",155821787,623287.15,9660950823,62
LuisFonsiVEVO,149933967,599735.87,14543594822,97
"YOLO AVENTURAS",148825376,595301.50,9673649438,65
BigSchool,147001957,588007.83,9996133066,68
Rotana,143180379,572721.52,19329351143,135
"KAROL G",139545862,558183.45,18699145555,134
"Paulo Londra",138621314,554485.26,8040036209,58
"Taylor Swift",138354895,553419.58,29884657286,216
"The Weeknd",138343012,553372.05,23379969006,169
"Becky G",136472538,545890.15,10644857969,78
Maroon5VEVO,136344024,545376.10,20042571499,147
KatyPerryVEVO,135747386,542989.54,23755792542,175
"Vlad and Niki",134460226,537840.90,77180169894,574
"Maroon 5",131894290,527577.16,22553923546,171
JustinBieberVEVO,130313103,521252.41,26583873105,204
shakiraVEVO,128767139,515068.56,25367126292,197
"Justin Bieber",122924176,491696.70,30608119724,249
Ozuna,119162253,476649.01,23355801606,196
"Fifth Harmony",118690581,474762.32,7952268926,67
"SIS vs BRO",116232209,464928.84,6973932553,60
"Tekashi 6ix9ine",115493740,461974.96,5890180734,51
