Youtuber,lowest_yearly_earnings,highest_yearly_earnings,channel_date,estimated_yearly_income
T-Series,6800000,108400000,2006-03-13,53647058.82
MrBeast,4000000,64700000,2012-02-20,10315942.50
"Cocomelon - Nursery Rhymes",5900000,94800000,2006-09-01,38588235.29
"SET India",5500000,87500000,2006-09-20,34823529.41
"Zee Music Company",2400000,38600000,2014-03-12,25713906.39
WWE,2100000,34300000,2007-05-11,19357118.42
BLACKPINK,1500000,23900000,2016-06-29,18368341.47
"Sony SAB",5000000,79600000,2007-08-04,25250000.00
BANGTANTV,504900,8100000,2012-12-17,7573452.35
"Justin Bieber",529000,8500000,2007-01-15,7652029.93
"HYBE LABELS",1800000,28700000,2008-06-04,7635884.52
"Zee TV",5100000,81900000,2005-12-11,16253123.22
"Shemaroo Filmi Gaane",764900,12200000,2010-06-11,8814776.75
"Colors TV",3600000,57000000,2008-06-13,16402908.39
"Dude Perfect",423600,6800000,2009-03-17,4640442.62
"Tips Official",1300000,20300000,2007-05-22,8357950.67
"El Reino Infantil",1800000,29400000,2011-06-02,19090543.62
"Aaj Tak",1400000,22100000,2009-08-27,7230786.72
"Sony Music India",777900,12400000,2009-09-02,8239184.15
EminemMusic,780600,12500000,2007-02-09,6768468.21
